,index,series_title,runtime_of_series,genre,imdb_rating,no_of_votes,index,type,title,release_year,season_count
126,665,3%,(2016–2020),"Action, Drama, Sci-Fi",7.4,21837,742,TV Show,3%,2020,4
127,1460,Teenage Bounty Hunters,(2020),"Comedy, Crime, Drama",7.7,8010,743,TV Show,Teenage Bounty Hunters,2020,1
128,147,The Legend of Korra,(2012–2014),"Animation, Action, Adventure",8.4,103857,745,TV Show,The Legend of Korra,2014,4
129,505,The Rain,(2018–2020),"Drama, Sci-Fi, Thriller",6.3,30924,758,TV Show,The Rain,2020,3
130,1197,Toradora!,(2008–2009),"Animation, Comedy, Drama",8.0,10394,766,TV Show,Toradora!,2008,1
131,89,The Umbrella Academy,(2019– ),"Action, Adventure, Comedy",8.0,159722,770,TV Show,The Umbrella Academy,2020,2
132,1801,Last Chance U,(2016–2020),"Documentary, Sport",8.5,6012,773,TV Show,Last Chance U,2020,5
133,915,Norsemen,(2016–2020),Comedy,7.8,14843,778,TV Show,Norsemen,2020,3
134,620,Cursed,(2020– ),"Adventure, Drama, Fantasy",5.8,23360,783,TV Show,Cursed,2020,1
135,493,The Protector,(2018–2020),"Action, Fantasy, Sci-Fi",6.7,31626,795,TV Show,The Protector,2020,4
136,684,Warrior Nun,(2020– ),"Action, Drama, Fantasy",6.8,21327,805,TV Show,Warrior Nun,2020,1
137,39,Dark,(2017–2020),"Crime, Drama, Mystery",8.8,285156,813,TV Show,Dark,2020,3
138,1330,"Roswell, New Mexico",(2019– ),"Drama, Romance, Sci-Fi",6.2,9055,818,TV Show,"Roswell, New Mexico",2020,2
139,779,The Politician,(2019– ),"Comedy, Drama",7.5,18342,823,TV Show,The Politician,2020,2
140,693,The Order,(2019–2020),"Drama, Fantasy, Horror",6.8,20909,824,TV Show,The Order,2020,2
141,110,How to Get Away with Murder,(2014–2020),"Crime, Drama, Mystery",8.1,129704,827,TV Show,How to Get Away with Murder,2020,6
142,737,Queen of the South,(2016– ),"Action, Crime, Drama",7.9,19592,839,TV Show,Queen of the South,2018,4
143,45,13 Reasons Why,(2017–2020),"Drama, Mystery, Thriller",7.6,256630,840,TV Show,13 Reasons Why,2020,4
144,888,Queer Eye,(2018– ),Reality-TV,8.5,15484,841,TV Show,Queer Eye,2020,5
145,19,Supernatural,(2005–2020),"Drama, Fantasy, Horror",8.4,393142,842,TV Show,Supernatural,2019,15
146,345,Space Force,(2020– ),Comedy,6.8,45536,851,TV Show,Space Force,2020,1
147,138,Supergirl,(2015–2021),"Action, Adventure, Drama",6.3,111301,855,TV Show,Supergirl,2019,5
148,1496,Betaal,(2020– ),"Action, Horror, Thriller",5.3,7777,856,TV Show,Betaal,2020,1
149,913,Dynasty,(2017– ),Drama,7.3,14888,857,TV Show,Dynasty,2019,3
150,1439,Sweet Magnolias,(2020– ),"Drama, Romance",7.4,8166,864,TV Show,Sweet Magnolias,2020,1
151,1682,Patriot Act with Hasan Minhaj,(2018–2020),"Comedy, News, Talk-Show",8.3,6539,866,TV Show,Patriot Act with Hasan Minhaj,2020,6
152,48,Avatar: The Last Airbender,(2005–2008),"Animation, Action, Adventure",9.2,248751,869,TV Show,Avatar: The Last Airbender,2007,3
153,719,Madam Secretary,(2014–2019),Drama,7.6,20055,871,TV Show,Madam Secretary,2019,6
154,1215,She-Ra and the Princesses of Power,(2018–2020),"Animation, Action, Adventure",7.8,10200,874,TV Show,She-Ra and the Princesses of Power,2020,5
155,951,White Lines,(2020),"Crime, Drama, Mystery",6.6,14103,878,TV Show,White Lines,2020,1
156,279,Dead to Me,(2019– ),"Comedy, Drama",8.0,55737,882,TV Show,Dead to Me,2020,2
157,1532,Good Witch,(2015– ),"Comedy, Drama, Fantasy",7.3,7502,900,TV Show,Good Witch,2019,5
158,184,The Last Kingdom,(2015– ),"Action, Drama, History",8.4,85696,907,TV Show,The Last Kingdom,2020,4
159,187,After Life,(2019– ),"Comedy, Drama",8.4,85275,910,TV Show,After Life,2020,2
160,1083,The Midnight Gospel,(2020– ),"Animation, Adventure, Comedy",8.3,11889,921,TV Show,The Midnight Gospel,2020,1
161,746,Fauda,(2015– ),"Action, Drama, Thriller",8.2,19362,928,TV Show,Fauda,2020,3
162,744,Legacies,(2018– ),"Adventure, Drama, Fantasy",7.5,19385,935,TV Show,Legacies,2019,2
163,61,Community,(2009–2015),Comedy,8.5,219596,936,TV Show,Community,2015,6
164,1658,Sunderland 'Til I Die,(2018– ),"Documentary, Sport",8.1,6694,941,TV Show,Sunderland 'Til I Die,2020,2
165,469,Happy!,(2017–2019),"Action, Comedy, Crime",8.2,33285,949,TV Show,Happy!,2019,2
166,78,Ozark,(2017– ),"Crime, Drama, Thriller",8.4,188576,951,TV Show,Ozark,2020,3
167,1261,Freud,(2020– ),"Biography, Crime, History",6.5,9801,955,TV Show,Freud,2020,1
